"Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity"
2016,"SE England",8,0,0,0
2017,"SE England",8,0,0,0
2018,"SE England",8,0,0,0
2019,"SE England",8,0,0,0
2020,"SE England",8,0,0,0
2021,"SE England",8,0,0,0
2022,"SE England",8,0,0,0
2023,"SE England",8,0,0,0
2024,"SE England",8,0,0,0
2025,"SE England",8,0.131782945736434,3,32.1909459057976
2026,"SE England",8,0,0,0
2027,"SE England",8,0.86046511627907,4.33333333333333,32.9763701176858
2028,"SE England",8,0,0,0
2029,"SE England",8,0,0,0
2030,"SE England",8,0.37984496124031,3.14285714285714,32.9698827218036
2031,"SE England",8,0,0,0
2032,"SE England",8,0,0,0
2033,"SE England",8,0.643410852713178,3.51807228915663,32.750044513419
2034,"SE England",8,0,0,0
2035,"SE England",8,0,0,0
2036,"SE England",8,0,0,0
2037,"SE England",8,0,0,0
2038,"SE England",8,0,0,0
2039,"SE England",8,0,0,0
2040,"SE England",8,0,0,0
2041,"SE England",8,0,0,0
2042,"SE England",8,0,0,0
2043,"SE England",8,0,0,0
2044,"SE England",8,0,0,0
