"","GCM","RCM","Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity","Simulator","GCM_labeled"
"71","CNRM-CERFACS-CNRM-CM5","ALADIN63",2050,"E Midlands",1,1.8411214953271,3.54822335025381,33.2568861839533,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"72","CNRM-CERFACS-CNRM-CM5","ALADIN63",2051,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"73","CNRM-CERFACS-CNRM-CM5","ALADIN63",2052,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"74","CNRM-CERFACS-CNRM-CM5","ALADIN63",2053,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"75","CNRM-CERFACS-CNRM-CM5","ALADIN63",2054,"E Midlands",1,0.551401869158878,3,32.8449461231124,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"76","CNRM-CERFACS-CNRM-CM5","ALADIN63",2055,"E Midlands",1,0.149532710280374,3.25,32.5749354163806,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"77","CNRM-CERFACS-CNRM-CM5","ALADIN63",2056,"E Midlands",1,0.327102803738318,3.02857142857143,32.8105894656408,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"78","CNRM-CERFACS-CNRM-CM5","ALADIN63",2057,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"79","CNRM-CERFACS-CNRM-CM5","ALADIN63",2058,"E Midlands",1,1.11214953271028,3.89075630252101,32.4494493555288,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"80","CNRM-CERFACS-CNRM-CM5","ALADIN63",2059,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"81","CNRM-CERFACS-CNRM-CM5","ALADIN63",2060,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"82","CNRM-CERFACS-CNRM-CM5","ALADIN63",2061,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"83","CNRM-CERFACS-CNRM-CM5","ALADIN63",2062,"E Midlands",1,0.607476635514019,3.30769230769231,32.5899711914552,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"84","CNRM-CERFACS-CNRM-CM5","ALADIN63",2063,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"85","CNRM-CERFACS-CNRM-CM5","ALADIN63",2064,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"86","CNRM-CERFACS-CNRM-CM5","ALADIN63",2065,"E Midlands",1,1.52336448598131,4.09815950920245,34.7965627125192,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"87","CNRM-CERFACS-CNRM-CM5","ALADIN63",2066,"E Midlands",1,0.327102803738318,3,32.8363333384196,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
