North	East
11585.53	90131.42
11683.32	90137.07
11713.44	90181.06
11707.36	90286.3
11673.59	90305.44
11574.59	90320.88
11474.38	90357.28
11442.92	90334.37
11450.21	90208.11
11585.53	90131.42
NA	NA
10632.83	90203.16
10730.61	90208.8
10824.75	90277.59
10922.65	90283.24
10953.99	90306.14
10946.71	90432.42
10877.84	90491.79
10909.29	90514.77
11365.66	90541.1
11669.95	90368.57
11767.73	90374.21
11936.82	90278.46
12030.96	90347.23
12128.74	90352.88
12318.24	90469.33
12416.03	90474.97
12477.61	90541.93
12575.39	90547.57
12795.02	90707.99
12770.76	91128.79
13054.42	91314.01
13039.89	91566.46
12938.48	91623.95
12934.85	91687.06
12833.43	91744.55
12827.38	91849.77
12725.97	91907.27
12718.72	92033.5
12482.13	92167.72
12384.34	92162.1
12249.06	92238.75
12228.54	92596.47
12193.56	92636.71
11802.42	92614.28
11768.55	92633.43
11764.93	92696.56
11528.36	92830.84
11430.57	92825.24
11295.3	92901.92
11291.68	92965.05
11225.36	92982.42
11160.13	92978.68
10876.41	92793.5
10778.63	92787.9
10684.35	92719.15
10586.56	92713.55
10461.04	92621.85
10471.9	92432.42
10572.1	92395.91
10575.72	92332.77
10677.13	92275.24
10680.75	92212.1
10616.73	92187.33
10455.03	92156.96
10252.22	92272.03
10154.32	92266.41
10028.81	92174.69
10039.68	91985.25
9945.52	91916.49
9958.82	91684.92
10060.23	91627.39
10069.92	91458.97
10007.11	91413.17
9941.99	91409.42
9877.98	91384.58
9894.93	91089.85
9769.33	90998.16
9672.76	90971.44
9637.77	91011.69
9634.14	91074.84
9567.69	91092.18
9404.79	91082.81
9340.78	91057.95
9344.42	90994.8
9188.68	90859.09
9198.38	90690.65
9435.11	90556.46
9695.8	90571.49
10068.96	90339.5
10166.74	90345.15
10268.17	90287.65
10463.86	90298.94
10632.83	90203.16
NA	NA
16851.69	90688.97
16950.69	90673.55
17075.07	90786.22
17069	90891.35
17001.35	90929.65
16838.33	90920.24
16775.53	90874.41
16785.25	90706.2
16851.69	90688.97
NA	NA
15977.47	91102.63
16368.62	91125.19
16524.35	91260.74
16622.14	91266.38
16686.16	91291.14
16667.99	91606.49
16699.33	91629.43
16800.75	91572
16996.32	91583.26
17027.78	91606.14
17020.52	91732.27
17114.67	91800.97
17104.99	91969.17
17003.58	92026.61
16999.95	92089.67
16932.3	92127.99
16867.08	92124.24
16766.87	92160.68
16472.31	92164.82
16372.1	92201.27
16306.87	92197.52
16239.23	92235.77
16236.81	92277.85
16135.4	92335.3
16128.16	92461.46
16026.75	92518.92
16052.18	92646.95
16209.05	92761.44
16205.43	92824.52
16002.62	92939.45
16031.68	93004.4
15931.48	93040.87
15927.86	93103.95
16022.04	93172.63
15985.75	93233.84
16143.95	93327.32
16241.73	93332.92
16271.89	93376.79
16269.48	93418.86
16234.51	93459.07
15941.15	93442.28
15907.39	93461.42
15900.17	93587.57
16025.7	93679.18
16123.49	93684.77
16247.82	93797.38
16238.21	93965.52
16136.82	94023.01
16133.22	94086.09
15896.68	94220.28
15635.88	94205.39
15571.85	94180.67
15575.45	94117.59
15481.27	94048.85
15488.48	93922.68
15394.29	93854.01
15432.97	93750.79
15338.8	93682.04
15342.4	93618.96
15248.12	93550.27
15278.22	93024.51
15184.05	92955.82
15187.66	92892.73
14905.16	92686.64
14914.81	92518.38
15184.06	92386.17
15249.29	92389.91
15587.29	92198.31
15598.17	92009.06
15699.58	91951.6
15705.63	91846.44
15908.46	91731.54
15942.38	91142.76
15977.47	91102.63
NA	NA
17368.23	91372.67
17629.03	91387.71
17693.05	91412.46
17685.78	91538.58
17619.34	91555.89
17358.54	91540.86
17327.19	91517.91
17334.46	91391.79
17368.23	91372.67
NA	NA
17006.01	91415.06
17071.24	91418.82
17135.26	91443.58
17131.62	91506.64
17065.18	91523.96
16999.95	91520.2
16935.94	91495.37
16939.57	91432.3
17006.01	91415.06
NA	NA
14489.97	91375.6
14615.47	91467.21
14608.21	91593.4
14471.81	91691.08
14375.23	91664.45
14343.78	91641.49
14353.46	91473.2
14489.97	91375.6
NA	NA
17604.81	91808.12
17898.17	91825.01
17929.52	91847.88
17922.26	91973.99
17853.51	92033.3
17803.92	92325.7
17770.15	92344.9
17574.58	92333.66
17539.61	92373.78
17535.98	92436.84
17502.1	92456.03
17306.53	92444.79
17086.86	92284.49
17094.11	92158.36
17129.09	92118.16
17323.45	92150.48
17358.43	92110.29
17362.05	92047.23
17462.26	92010.79
17469.52	91884.67
17604.81	91808.12
NA	NA
11894.18	92725.12
11991.96	92730.73
12116.28	92843.35
12110.26	92948.58
12075.29	92988.82
11977.5	92983.22
11853.07	92870.52
11859.1	92765.29
11894.18	92725.12
NA	NA
13846.39	92900.31
13944.18	92905.91
13975.53	92928.79
13964.69	93118.09
13929.72	93158.32
13833.14	93131.71
13769.12	93106.89
13779.96	92917.58
13846.39	92900.31
NA	NA
13448.02	93004.11
13545.8	93009.71
13609.72	93034.45
13598.88	93223.77
13532.55	93241.12
13406.92	93149.46
13414.14	93023.25
13448.02	93004.11
NA	NA
14075.88	93462.14
14173.67	93467.73
14299.2	93559.29
14291.98	93685.56
14258.22	93704.71
14160.44	93699.12
14034.79	93607.48
14042.01	93481.28
14075.88	93462.14
NA	NA
13606.28	93667.44
13899.64	93684.21
14025.17	93775.77
14021.57	93838.87
13853.86	93913.75
13690.84	93904.44
13623.21	93942.73
13613.61	94111.04
13578.65	94151.27
13383.07	94140.11
13258.62	94027.46
13264.63	93922.26
13366.02	93864.73
13369.62	93801.62
13606.28	93667.44
NA	NA
14799.16	93967.74
14923.5	94080.36
14917.5	94185.46
14882.54	94225.68
14819.71	94179.88
14823.32	94116.79
14727.93	94069.19
14764.09	94007.89
14799.16	93967.74
NA	NA
14494.99	94140.27
14592.78	94145.85
14750.88	94239.24
14740.08	94428.59
14638.7	94486.1
14636.3	94528.12
14197.01	94777.43
14071.35	94685.89
14082.14	94496.53
14150.97	94437.15
14185.92	94396.98
14457.53	94222.5
14461.13	94159.41
14494.99	94140.27
NA	NA
13768.22	94267.63
13864.8	94294.22
13896.16	94317.15
13892.56	94380.26
13757.42	94456.94
13631.76	94365.38
13768.22	94267.63
NA	NA
14088.45	94961.16
14119.81	94984.09
14145.18	95112.14
13977.5	95186.98
13946.02	95164.12
13953.2	95037.91
14088.45	94961.16
NA	NA
13524.71	95097.92
13720.28	95109.05
13845.84	95200.57
13838.66	95326.85
13703.54	95403.55
13604.56	95419
13480.08	95306.46
13489.65	95138.16
13524.71	95097.92
NA	NA
14274.45	95140.57
14304.61	95184.51
14295.04	95352.79
14159.91	95429.49
14062.13	95423.93
14030.65	95401.06
14132.02	95343.52
14135.62	95280.36
14204.43	95220.97
14208.02	95157.87
14274.45	95140.57
NA	NA
14980.86	95370.64
15078.64	95376.2
15142.56	95400.98
15131.81	95590.24
15065.5	95607.54
14967.71	95601.99
14936.23	95579.12
14946.99	95389.86
14980.86	95370.64
NA	NA
16276.47	165768.74
16112.5	165782.59
15945.89	165859.58
15941.3	165964.61
15840.73	166023.38
15824.21	166401.74
15757.14	166440.88
15754.39	166504
15352.17	166739.16
15350.34	166781.22
15216.19	166859.58
15184.54	166837.17
15187.29	166774.12
15092.23	166706.73
15094.06	166664.74
14999	166597.42
15001.75	166534.36
14937.43	166510.45
14873.1	166486.61
14806.14	166525.83
14803.39	166588.89
14703.64	166626.62
14699.98	166710.75
14600.34	166748.55
14627.52	166876.1
14526.97	166934.91
14519.66	167103.1
14352.04	167201.07
14286.8	167198.24
14191.74	167130.92
13996.12	167122.42
13901.06	167055.1
13800.51	167113.91
13735.27	167111.08
13468.02	167246.97
13497.95	167311.46
13398.32	167349.22
13369.15	168022.13
13431.55	168088.03
13459.67	168194.59
13158.07	168371.13
13155.34	168434.21
13054.7	168493.06
13040.18	168829.54
12939.65	168888.4
12926.96	169182.8
12892.59	169223.41
12794.78	169219.2
12699.69	169151.9
12601.88	169147.69
12433.4	169266.84
12335.59	169262.63
12235.07	169321.58
11876.41	169306.15
11781.32	169238.77
11683.51	169234.56
11549.52	169313.13
11544.09	169439.32
11443.46	169498.21
11425.39	169918.89
11325.77	169956.79
11314.95	170209.19
11410.95	170255.47
11405.55	170381.67
11531.53	170492.44
11630.24	170475.55
11851.22	170653.59
11838.63	170948.05
11738.12	171006.97
11722.86	171364.53
11849.76	171454.27
